InterviewId	Action	Originator	Role	Date	Time
ae59b33ef718459598bef5bea9185bcb	InterviewerAssigned	Interviewer12	Interviewer	08/01/2017	07:34:40
ae59b33ef718459598bef5bea9185bcb	FirstAnswerSet	Interviewer12	Interviewer	08/01/2017	07:34:53
3e8f4b1776354c3093f7b943bdde4d37	SupervisorAssigned	Interviewer3	Interviewer	08/01/2017	07:35:07
634776bbd57f477a9d160c48d2b332b0	InterviewerAssigned	Interviewer18	Interviewer	08/01/2017	07:35:13
ae59b33ef718459598bef5bea9185bcb	Completed	Interviewer12	Interviewer	08/01/2017	07:35:25
663fe02ca73142fd852bf58c8b721b38	InterviewerAssigned	Interviewer17	Interviewer	08/01/2017	07:35:25
8d73084db0b343859f2c3c3830cd4cd2	Completed	Interviewer25	Interviewer	08/01/2017	07:35:34
fad9de2c84434c5eb5b2006d2ce4b02c	InterviewerAssigned	Interviewer16	Interviewer	08/01/2017	07:35:59
c55fd5d025f948469cde11271ce74e8c	InterviewerAssigned	Interviewer14	Interviewer	08/01/2017	07:36:04
663fe02ca73142fd852bf58c8b721b38	FirstAnswerSet	Interviewer17	Interviewer	08/01/2017	07:36:10
fad9de2c84434c5eb5b2006d2ce4b02c	FirstAnswerSet	Interviewer16	Interviewer	08/01/2017	07:36:11
8d73084db0b343859f2c3c3830cd4cd2	SupervisorAssigned	Interviewer25	Interviewer	08/01/2017	07:36:14
e65ecccfd5d74041b3bea65dee112e83	Completed	Interviewer2	Interviewer	08/01/2017	07:36:21
663fe02ca73142fd852bf58c8b721b38	Completed	Interviewer17	Interviewer	08/01/2017	07:36:25
d87798a5cca541c48fa02dd18750e4c8	Completed	Interviewer9	Interviewer	08/01/2017	07:36:48
d87798a5cca541c48fa02dd18750e4c8	SupervisorAssigned	Interviewer9	Interviewer	08/01/2017	07:36:56
645c3a67e91e48c8b0189d8fd71501cc	InterviewerAssigned	Interviewer23	Interviewer	08/01/2017	07:37:05
ae59b33ef718459598bef5bea9185bcb	SupervisorAssigned	Interviewer12	Interviewer	08/01/2017	07:37:05
e65ecccfd5d74041b3bea65dee112e83	SupervisorAssigned	Interviewer2	Interviewer	08/01/2017	07:37:09
634776bbd57f477a9d160c48d2b332b0	FirstAnswerSet	Interviewer18	Interviewer	08/01/2017	07:37:33
1b92aaa33708452e8687b3afd73d0093	Completed	Interviewer15	Interviewer	08/01/2017	07:38:16
fad9de2c84434c5eb5b2006d2ce4b02c	Completed	Interviewer16	Interviewer	08/01/2017	07:38:59
634776bbd57f477a9d160c48d2b332b0	Completed	Interviewer18	Interviewer	08/01/2017	07:39:28
645c3a67e91e48c8b0189d8fd71501cc	FirstAnswerSet	Interviewer23	Interviewer	08/01/2017	07:39:33
fad9de2c84434c5eb5b2006d2ce4b02c	SupervisorAssigned	Interviewer16	Interviewer	08/01/2017	07:39:43
76721f45bc7a4abf8411bb8f4bae5a76	InterviewerAssigned	Interviewer11	Interviewer	08/01/2017	07:39:50
76721f45bc7a4abf8411bb8f4bae5a76	FirstAnswerSet	Interviewer11	Interviewer	08/01/2017	07:40:19
89cc26e1f71648e5b77358446f16e186	FirstAnswerSet	Interviewer24	Interviewer	08/01/2017	07:40:20
b1ed92001c5c49df9fea9aea3cd30e5a	FirstAnswerSet	Interviewer4	Interviewer	08/01/2017	07:40:36
663fe02ca73142fd852bf58c8b721b38	SupervisorAssigned	Interviewer17	Interviewer	08/01/2017	07:40:41
634776bbd57f477a9d160c48d2b332b0	SupervisorAssigned	Interviewer18	Interviewer	08/01/2017	07:40:44
b1ed92001c5c49df9fea9aea3cd30e5a	Completed	Interviewer4	Interviewer	08/01/2017	07:41:22
7bf451f6c6fc4535b8f3725befc4af9f	InterviewerAssigned	Interviewer10	Interviewer	08/01/2017	07:41:40
7bf451f6c6fc4535b8f3725befc4af9f	FirstAnswerSet	Interviewer10	Interviewer	08/01/2017	07:42:33
76721f45bc7a4abf8411bb8f4bae5a76	Completed	Interviewer11	Interviewer	08/01/2017	07:42:45
7bf451f6c6fc4535b8f3725befc4af9f	Completed	Interviewer10	Interviewer	08/01/2017	07:43:04
f5dae087992844879e8f8376ea5aa50c	InterviewerAssigned	Interviewer1	Interviewer	08/01/2017	07:43:24
f5dae087992844879e8f8376ea5aa50c	FirstAnswerSet	Interviewer1	Interviewer	08/01/2017	07:43:37
c55fd5d025f948469cde11271ce74e8c	FirstAnswerSet	Interviewer14	Interviewer	08/01/2017	07:43:50
76721f45bc7a4abf8411bb8f4bae5a76	SupervisorAssigned	Interviewer11	Interviewer	08/01/2017	07:43:57
1b92aaa33708452e8687b3afd73d0093	SupervisorAssigned	Interviewer15	Interviewer	08/01/2017	07:44:36
7fc19ac546d24206a0f52856305d6f1b	InterviewerAssigned	Interviewer20	Interviewer	08/01/2017	07:46:43
7fc19ac546d24206a0f52856305d6f1b	FirstAnswerSet	Interviewer20	Interviewer	08/01/2017	07:47:02
7bf451f6c6fc4535b8f3725befc4af9f	SupervisorAssigned	Interviewer10	Interviewer	08/01/2017	07:48:40
7fc19ac546d24206a0f52856305d6f1b	Completed	Interviewer20	Interviewer	08/01/2017	07:48:41
c55fd5d025f948469cde11271ce74e8c	Completed	Interviewer14	Interviewer	08/01/2017	07:49:20
eec940e8a63c43aeaa239854221aa133	InterviewerAssigned	Interviewer26	Interviewer	08/01/2017	07:49:20
9041eff0ef1b453aa16e29fd7d7528ce	InterviewerAssigned	Interviewer22	Interviewer	08/01/2017	07:49:40
eec940e8a63c43aeaa239854221aa133	FirstAnswerSet	Interviewer26	Interviewer	08/01/2017	07:49:50
9041eff0ef1b453aa16e29fd7d7528ce	FirstAnswerSet	Interviewer22	Interviewer	08/01/2017	07:50:02
9041eff0ef1b453aa16e29fd7d7528ce	Completed	Interviewer22	Interviewer	08/01/2017	07:51:15
645c3a67e91e48c8b0189d8fd71501cc	Completed	Interviewer23	Interviewer	08/01/2017	07:51:43
eec940e8a63c43aeaa239854221aa133	Completed	Interviewer26	Interviewer	08/01/2017	07:51:48
c55fd5d025f948469cde11271ce74e8c	SupervisorAssigned	Interviewer14	Interviewer	08/01/2017	07:51:56
46a14d3a983a455fbe29e97af79a32f2	InterviewerAssigned	Interviewer19	Interviewer	08/01/2017	07:52:09
9041eff0ef1b453aa16e29fd7d7528ce	SupervisorAssigned	Interviewer22	Interviewer	08/01/2017	07:52:19
46a14d3a983a455fbe29e97af79a32f2	FirstAnswerSet	Interviewer19	Interviewer	08/01/2017	07:52:29
89cc26e1f71648e5b77358446f16e186	Completed	Interviewer24	Interviewer	08/01/2017	07:52:43
89cc26e1f71648e5b77358446f16e186	SupervisorAssigned	Interviewer24	Interviewer	08/01/2017	07:52:52
eec940e8a63c43aeaa239854221aa133	SupervisorAssigned	Interviewer26	Interviewer	08/01/2017	07:52:58
0c31758e9c6e4e4598add181c2fd1f99	InterviewerAssigned	Interviewer27	Interviewer	08/01/2017	07:54:07
645c3a67e91e48c8b0189d8fd71501cc	SupervisorAssigned	Interviewer23	Interviewer	08/01/2017	07:54:17
f5dae087992844879e8f8376ea5aa50c	Completed	Interviewer1	Interviewer	08/01/2017	07:54:39
f5dae087992844879e8f8376ea5aa50c	SupervisorAssigned	Interviewer1	Interviewer	08/01/2017	07:55:03
0ada78593fda4c8180064b2b1d2124b3	FirstAnswerSet	Interviewer7	Interviewer	08/01/2017	07:55:30
0c31758e9c6e4e4598add181c2fd1f99	FirstAnswerSet	Interviewer27	Interviewer	08/01/2017	07:55:31
46a14d3a983a455fbe29e97af79a32f2	Completed	Interviewer19	Interviewer	08/01/2017	07:55:39
0c31758e9c6e4e4598add181c2fd1f99	Completed	Interviewer27	Interviewer	08/01/2017	07:57:23
46a14d3a983a455fbe29e97af79a32f2	SupervisorAssigned	Interviewer19	Interviewer	08/01/2017	07:57:27
0c31758e9c6e4e4598add181c2fd1f99	SupervisorAssigned	Interviewer27	Interviewer	08/01/2017	07:57:59
0ada78593fda4c8180064b2b1d2124b3	Completed	Interviewer7	Interviewer	08/01/2017	07:58:41
7fc19ac546d24206a0f52856305d6f1b	SupervisorAssigned	Interviewer20	Interviewer	08/01/2017	07:58:44
0ada78593fda4c8180064b2b1d2124b3	SupervisorAssigned	Interviewer7	Interviewer	08/01/2017	07:58:44
663fe02ca73142fd852bf58c8b721b38	ApprovedBySupervisor	Supervisor16	Supervisor	08/02/2017	00:05:27
8d73084db0b343859f2c3c3830cd4cd2	ApprovedBySupervisor	Supervisor24	Supervisor	08/02/2017	00:13:15
d87798a5cca541c48fa02dd18750e4c8	ApprovedBySupervisor	Supervisor8	Supervisor	08/02/2017	00:13:30
7bf451f6c6fc4535b8f3725befc4af9f	ApprovedBySupervisor	Supervisor9	Supervisor	08/02/2017	00:13:33
89cc26e1f71648e5b77358446f16e186	ApprovedBySupervisor	Supervisor23	Supervisor	08/02/2017	00:13:38
ae59b33ef718459598bef5bea9185bcb	ApprovedBySupervisor	Supervisor11	Supervisor	08/02/2017	00:13:44
e65ecccfd5d74041b3bea65dee112e83	ApprovedBySupervisor	Supervisor1	Supervisor	08/02/2017	00:13:47
3e8f4b1776354c3093f7b943bdde4d37	ApprovedBySupervisor	Supervisor2	Supervisor	08/02/2017	00:13:51
645c3a67e91e48c8b0189d8fd71501cc	ApprovedBySupervisor	Supervisor22	Supervisor	08/02/2017	00:13:55
0ada78593fda4c8180064b2b1d2124b3	ApprovedBySupervisor	Supervisor6	Supervisor	08/02/2017	00:14:18
1b92aaa33708452e8687b3afd73d0093	ApprovedBySupervisor	Supervisor14	Supervisor	08/02/2017	00:14:28
76721f45bc7a4abf8411bb8f4bae5a76	ApprovedBySupervisor	Supervisor10	Supervisor	08/02/2017	00:14:35
2df254e3d59744799cd85eb3534020d6	ApprovedBySupervisor	Supervisor4	Supervisor	08/02/2017	00:15:14
634776bbd57f477a9d160c48d2b332b0	ApprovedBySupervisor	Supervisor17	Supervisor	08/02/2017	00:15:43
c55fd5d025f948469cde11271ce74e8c	ApprovedBySupervisor	Supervisor13	Supervisor	08/02/2017	00:16:10
b1ed92001c5c49df9fea9aea3cd30e5a	SupervisorAssigned	Interviewer4	Interviewer	08/02/2017	00:16:29
9041eff0ef1b453aa16e29fd7d7528ce	ApprovedBySupervisor	Supervisor21	Supervisor	08/02/2017	00:17:12
b1ed92001c5c49df9fea9aea3cd30e5a	ApprovedBySupervisor	Supervisor3	Supervisor	08/02/2017	00:17:58
0c31758e9c6e4e4598add181c2fd1f99	ApprovedBySupervisor	Supervisor26	Supervisor	08/02/2017	00:18:30
46a14d3a983a455fbe29e97af79a32f2	ApprovedBySupervisor	Supervisor18	Supervisor	08/02/2017	00:18:55
f5dae087992844879e8f8376ea5aa50c	ApprovedBySupervisor	Supervisor30	Supervisor	08/02/2017	00:20:18
fad9de2c84434c5eb5b2006d2ce4b02c	ApprovedBySupervisor	Supervisor15	Supervisor	08/02/2017	00:21:14
7fc19ac546d24206a0f52856305d6f1b	ApprovedBySupervisor	Supervisor19	Supervisor	08/02/2017	00:21:37
eec940e8a63c43aeaa239854221aa133	ApprovedBySupervisor	Supervisor25	Supervisor	08/02/2017	00:21:41
0c31758e9c6e4e4598add181c2fd1f99	ApprovedByHeadquarter	SIAP_HQ	Headquarter	08/02/2017	00:23:01
eec940e8a63c43aeaa239854221aa133	ApprovedByHeadquarter	SIAP_HQ	Headquarter	08/02/2017	00:23:01
7fc19ac546d24206a0f52856305d6f1b	ApprovedByHeadquarter	SIAP_HQ	Headquarter	08/02/2017	00:23:01
fad9de2c84434c5eb5b2006d2ce4b02c	ApprovedByHeadquarter	SIAP_HQ	Headquarter	08/02/2017	00:23:01
f5dae087992844879e8f8376ea5aa50c	ApprovedByHeadquarter	SIAP_HQ	Headquarter	08/02/2017	00:23:01
46a14d3a983a455fbe29e97af79a32f2	ApprovedByHeadquarter	SIAP_HQ	Headquarter	08/02/2017	00:23:01
b1ed92001c5c49df9fea9aea3cd30e5a	ApprovedByHeadquarter	SIAP_HQ	Headquarter	08/02/2017	00:23:01
9041eff0ef1b453aa16e29fd7d7528ce	ApprovedByHeadquarter	SIAP_HQ	Headquarter	08/02/2017	00:23:01
c55fd5d025f948469cde11271ce74e8c	ApprovedByHeadquarter	SIAP_HQ	Headquarter	08/02/2017	00:23:01
634776bbd57f477a9d160c48d2b332b0	ApprovedByHeadquarter	SIAP_HQ	Headquarter	08/02/2017	00:23:01
2df254e3d59744799cd85eb3534020d6	ApprovedByHeadquarter	SIAP_HQ	Headquarter	08/02/2017	00:23:01
76721f45bc7a4abf8411bb8f4bae5a76	ApprovedByHeadquarter	SIAP_HQ	Headquarter	08/02/2017	00:23:01
1b92aaa33708452e8687b3afd73d0093	ApprovedByHeadquarter	SIAP_HQ	Headquarter	08/02/2017	00:23:01
0ada78593fda4c8180064b2b1d2124b3	ApprovedByHeadquarter	SIAP_HQ	Headquarter	08/02/2017	00:23:02
645c3a67e91e48c8b0189d8fd71501cc	ApprovedByHeadquarter	SIAP_HQ	Headquarter	08/02/2017	00:23:02
3e8f4b1776354c3093f7b943bdde4d37	ApprovedByHeadquarter	SIAP_HQ	Headquarter	08/02/2017	00:23:02
e65ecccfd5d74041b3bea65dee112e83	ApprovedByHeadquarter	SIAP_HQ	Headquarter	08/02/2017	00:23:02
ae59b33ef718459598bef5bea9185bcb	ApprovedByHeadquarter	SIAP_HQ	Headquarter	08/02/2017	00:23:02
89cc26e1f71648e5b77358446f16e186	ApprovedByHeadquarter	SIAP_HQ	Headquarter	08/02/2017	00:23:02
7bf451f6c6fc4535b8f3725befc4af9f	ApprovedByHeadquarter	SIAP_HQ	Headquarter	08/02/2017	00:23:02
d87798a5cca541c48fa02dd18750e4c8	ApprovedByHeadquarter	SIAP_HQ	Headquarter	08/02/2017	00:23:26
8d73084db0b343859f2c3c3830cd4cd2	ApprovedByHeadquarter	SIAP_HQ	Headquarter	08/02/2017	00:23:26
663fe02ca73142fd852bf58c8b721b38	ApprovedByHeadquarter	SIAP_HQ	Headquarter	08/02/2017	00:23:26
